1201 3.5
5.7544E-03 0.989784 4.8443E-03
5.8210E-03 0.989593 5.0055E-03
5.8884E-03 0.9894 5.1710E-03
5.9566E-03 0.989205 5.3406E-03
6.0256E-03 0.989009 5.5141E-03
6.0954E-03 0.988812 5.6914E-03
6.1659E-03 0.988613 5.8723E-03
6.2373E-03 0.988413 6.0607E-03
6.3096E-03 0.988212 6.2574E-03
6.3826E-03 0.98801 6.4591E-03
6.4565E-03 0.987808 6.6656E-03
6.5313E-03 0.987604 6.8769E-03
6.6069E-03 0.987402 7.0985E-03
6.6834E-03 0.987201 7.3263E-03
6.7608E-03 0.987001 7.5602E-03
6.8391E-03 0.986802 7.7999E-03
6.9183E-03 0.986608 8.0456E-03
6.9984E-03 0.986426 8.2978E-03
7.0795E-03 0.986251 8.5559E-03
7.1614E-03 0.986116 8.8241E-03
7.2444E-03 0.986015 9.1003E-03
7.3282E-03 0.986118 9.3788E-03
7.4131E-03 0.985956 8.8493E-03
7.4989E-03 0.985368 9.1291E-03
7.5858E-03 0.985002 9.4166E-03
7.6736E-03 0.984653 9.7129E-03
7.7625E-03 0.984324 1.0016E-02
7.8524E-03 0.984025 1.0323E-02
7.9433E-03 0.983734 1.0639E-02
8.0353E-03 0.983449 1.0967E-02
8.1283E-03 0.983172 1.1303E-02
8.2224E-03 0.982901 1.1650E-02
8.3176E-03 0.982631 1.2004E-02
8.4139E-03 0.982363 1.2367E-02
8.5114E-03 0.982102 1.2740E-02
8.6099E-03 0.981847 1.3124E-02
8.7096E-03 0.981599 1.3516E-02
8.8105E-03 0.981356 1.3918E-02
8.9125E-03 0.981103 1.4327E-02
9.0157E-03 0.980853 1.4747E-02
9.1201E-03 0.980624 1.5178E-02
9.2257E-03 0.980413 1.5618E-02
9.3325E-03 0.980222 1.6068E-02
9.4406E-03 0.980049 1.6527E-02
9.5499E-03 0.979897 1.6995E-02
9.6605E-03 0.979798 1.7476E-02
9.7724E-03 0.979727 1.7966E-02
9.8855E-03 0.979685 1.8465E-02
1.0000E-02 0.979668 1.8971E-02
1.0116E-02 0.979678 1.9486E-02
1.0233E-02 0.979713 2.0008E-02
1.0351E-02 0.979829 2.0536E-02
1.0471E-02 0.980322 2.1070E-02
1.0593E-02 0.982753 2.1573E-02
1.0715E-02 0.982548 1.6844E-02
1.0839E-02 0.980627 1.7350E-02
1.0965E-02 0.978945 1.7862E-02
1.1092E-02 0.978019 1.8371E-02
1.1220E-02 0.977172 1.8891E-02
1.1350E-02 0.976398 1.9422E-02
1.1482E-02 0.975694 1.9963E-02
1.1614E-02 0.975064 2.0515E-02
1.1749E-02 0.974504 2.1078E-02
1.1885E-02 0.974013 2.1650E-02
1.2023E-02 0.973588 2.2232E-02
1.2162E-02 0.973227 2.2823E-02
1.2303E-02 0.972927 2.3422E-02
1.2445E-02 0.972693 2.4031E-02
1.2589E-02 0.972528 2.4650E-02
1.2735E-02 0.972422 2.5278E-02
1.2882E-02 0.972106 2.4822E-02
1.3032E-02 0.971289 2.5467E-02
1.3183E-02 0.970889 2.6110E-02
1.3335E-02 0.970878 2.6756E-02
1.3490E-02 0.970198 2.6057E-02
1.3646E-02 0.969166 2.6734E-02
1.3804E-02 0.968265 2.7418E-02
1.3964E-02 0.967562 2.8101E-02
1.4125E-02 0.966876 2.8800E-02
1.4289E-02 0.966207 2.9512E-02
1.4454E-02 0.965554 3.0238E-02
1.4622E-02 0.964917 3.0975E-02
1.4791E-02 0.964288 3.1722E-02
1.4962E-02 0.963664 3.2484E-02
1.5136E-02 0.963045 3.3261E-02
1.5311E-02 0.962432 3.4051E-02
1.5488E-02 0.961823 3.4855E-02
1.5668E-02 0.961202 3.5669E-02
1.5849E-02 0.960583 3.6502E-02
1.6032E-02 0.959966 3.7355E-02
1.6218E-02 0.959352 3.8226E-02
1.6406E-02 0.958742 3.9114E-02
1.6596E-02 0.958115 4.0020E-02
1.6788E-02 0.95747 4.0950E-02
1.6982E-02 0.956853 4.1903E-02
1.7179E-02 0.956263 4.2879E-02
1.7378E-02 0.955698 4.3876E-02
1.7579E-02 0.955159 4.4894E-02
1.7783E-02 0.954686 4.5940E-02
1.7989E-02 0.954343 4.7023E-02
1.8197E-02 0.95406 4.8131E-02
1.8408E-02 0.953836 4.9262E-02
1.8621E-02 0.95367 5.0415E-02
1.8836E-02 0.953919 5.1577E-02
1.9055E-02 0.954325 4.8202E-02
1.9275E-02 0.952741 4.9262E-02
1.9498E-02 0.951144 5.0363E-02
1.9724E-02 0.949632 5.1498E-02
1.9953E-02 0.948203 5.2663E-02
2.0184E-02 0.946855 5.3859E-02
2.0417E-02 0.945584 5.5084E-02
2.0654E-02 0.94439 5.6336E-02
2.0893E-02 0.943271 5.7614E-02
2.1135E-02 0.942223 5.8917E-02
2.1380E-02 0.941243 6.0244E-02
2.1627E-02 0.940297 6.1595E-02
2.1878E-02 0.939296 6.2975E-02
2.2131E-02 0.938305 6.4380E-02
2.2387E-02 0.937386 6.5825E-02
2.2646E-02 0.936664 6.7304E-02
2.2909E-02 0.936271 6.8833E-02
2.3174E-02 0.934268 6.8345E-02
2.3442E-02 0.932331 7.0199E-02
2.3714E-02 0.93085 7.2059E-02
2.3988E-02 0.929506 7.3922E-02
2.4266E-02 0.928192 7.5825E-02
2.4547E-02 0.926906 7.7765E-02
2.4831E-02 0.92565 7.9740E-02
2.5119E-02 0.924419 8.1747E-02
2.5410E-02 0.923211 8.3790E-02
2.5704E-02 0.922027 8.5867E-02
2.6002E-02 0.920864 8.7986E-02
2.6303E-02 0.919715 9.0147E-02
2.6607E-02 0.918579 9.2341E-02
2.6915E-02 0.917456 9.4567E-02
2.7227E-02 0.916336 9.6810E-02
2.7542E-02 0.915223 9.9086E-02
