4684 0.92
3.0978 1.3588 0.98798
3.10241 1.4679 0.96468
3.10704 1.5201 0.93268
3.11177 1.4932 0.91023
3.11643 1.5248 0.87447
3.1211 1.5856 0.83418
3.12578 1.6380 0.80040
3.13048 1.6521 0.77318
3.13529 1.6052 0.75722
3.14001 1.6432 0.73433
3.14475 1.6857 0.71412
3.14951 1.6953 0.69830
3.15438 1.6525 0.69328
3.15916 1.6640 0.68226
3.16396 1.7091 0.66982
3.16877 1.7555 0.65540
3.1737 1.7255 0.64761
3.17854 1.7483 0.63235
3.1834 1.7950 0.61119
3.18827 1.8434 0.58519
3.19315 1.8626 0.55981
3.19816 1.8388 0.53345
3.20307 1.8744 0.49836
3.20801 1.8853 0.46351
3.21295 1.9104 0.42572
3.21802 1.8813 0.39292
3.223 1.8808 0.35762
3.22799 1.8881 0.32396
3.233 1.8918 0.29265
3.23803 1.8795 0.26551
3.24317 1.8473 0.24351
3.24823 1.8433 0.22175
3.2533 1.8303 0.20342
3.25839 1.8251 0.18583
3.2636 1.7981 0.17188
3.26872 1.7865 0.15914
3.27386 1.7800 0.14625
3.27901 1.7739 0.13438
3.28418 1.7616 0.12487
3.28947 1.7412 0.11720
3.29468 1.7343 0.10824
3.29989 1.7238 0.10116
3.30513 1.7177 0.093744
3.31049 1.7005 0.088979
3.31576 1.6911 0.083422
3.32105 1.6847 0.078817
3.32635 1.6791 0.074182
3.33167 1.6707 0.071114
3.33712 1.6579 0.069169
3.34247 1.6537 0.066260
3.34784 1.6480 0.062973
3.35323 1.6444 0.058896
3.35875 1.6333 0.055709
3.36417 1.6267 0.053172
3.36961 1.6225 0.050953
3.37507 1.6191 0.049202
3.38055 1.6142 0.047624
3.38616 1.6058 0.046432
3.39167 1.6036 0.044030
3.3972 1.6011 0.041118
3.40275 1.5966 0.038985
3.40843 1.5894 0.037141
3.41402 1.5854 0.034433
3.41962 1.5822 0.031661
3.42524 1.5787 0.029451
3.43088 1.5742 0.027893
3.43666 1.5679 0.026506
3.44234 1.5648 0.024798
3.44804 1.5615 0.022600
3.45375 1.5572 0.021537
3.45961 1.5514 0.020099
3.46536 1.5472 0.019023
3.47114 1.5437 0.017878
3.47693 1.5403 0.017231
3.48286 1.5349 0.016759
3.4887 1.5310 0.016650
3.49455 1.5278 0.016483
3.50042 1.5252 0.016763
3.50631 1.5221 0.017084
3.51235 1.5176 0.017518
3.51828 1.5138 0.018909
3.52423 1.5129 0.022133
3.5302 1.5155 0.024070
3.53632 1.5158 0.022555
3.54233 1.5157 0.018997
3.54836 1.5148 0.016044
3.55442 1.5136 0.013122
3.56049 1.5108 0.011364
3.56672 1.5072 0.0091603
3.57283 1.5050 0.0078564
3.57897 1.5021 0.0061053
3.58513 1.4996 0.0053267
3.59144 1.4963 0.0041080
3.59764 1.4937 0.0033289
3.60386 1.4910 0.0025475
3.61011 1.4884 0.0017657
3.61637 1.4860 0.00096132
3.62279 1.4831 0.00068173
3.62911 1.4808 0.00036341
3.63544 1.4784 4.8213e-05
3.64179 1.4761 0.0000
3.6483 1.4741 0.0000
3.6547 1.4718 0.0000
3.66113 1.4695 0.0000
3.66757 1.4677 0.0000
3.67404 1.4654 0.0000
3.68067 1.4638 0.0000
3.68718 1.4616 0.0000
3.69372 1.4597 0.0000
3.70028 1.4580 0.0000
3.707 1.4563 0.0000
3.71361 1.4544 0.0000
3.72024 1.4526 0.0000
3.72689 1.4509 0.0000
3.73357 1.4494 0.0000
3.74042 1.4478 0.0000
3.74714 1.4463 0.0000
3.75389 1.4448 0.0000
3.76067 1.4434 0.0000
3.76761 1.4420 0.0000
3.77444 1.4406 0.0000
3.78129 1.4393 0.0000
3.78817 1.4379 0.0000
3.79507 1.4366 0.0000
3.80214 1.4353 0.0000
3.80909 1.4340 0.0000
3.81607 1.4324 0.0000
3.82307 1.4316 0.00045489
3.83024 1.4305 0.00051099
3.8373 1.4294 0.00056513
3.84438 1.4284 0.00061745
3.85149 1.4273 0.00066859
3.85862 1.4263 0.00071961
3.86593 1.4251 0.00077248
3.87312 1.4241 0.00082059
3.88033 1.4230 0.00086776
3.88757 1.4220 0.00091584
3.89499 1.4206 0.00097049
3.90229 1.4198 0.0015417
3.90961 1.4190 0.0015791
3.91696 1.4181 0.0016192
3.92449 1.4170 0.0022002
3.9319 1.4165 0.0022310
3.93933 1.4160 0.0022607
3.9468 1.4156 0.0017459
3.95429 1.4145 0.0017895
3.96197 1.4137 0.0018252
3.96951 1.4127 0.0013211
3.97709 1.4118 0.0013570
3.9847 1.4111 0.00084378
3.99249 1.4098 0.00088365
4.00016 1.4088 0.00091806
4.00786 1.4078 0.00094942
4.01558 1.4070 0.00097677
4.02334 1.4058 0.00046338
4.03128 1.4045 0.0010468
4.0391 1.4038 0.0010716
4.04694 1.4028 0.0010993
4.05482 1.4018 0.0011263
4.06289 1.4006 0.0011573
4.07083 1.3996 0.0017384
4.0788 1.3988 0.0017614
4.0868 1.3976 0.0017896
4.09484 1.3969 0.0023692
4.10307 1.3958 0.0029582
4.11117 1.3952 0.0029789
4.11929 1.3944 0.0035659
4.12746 1.3939 0.0035861
4.13582 1.3929 0.0041794
4.14405 1.3921 0.0042026
4.15231 1.3915 0.0042233
4.1606 1.3907 0.0042461
4.16892 1.3900 0.0048411
4.17746 1.3887 0.0048684
4.18585 1.3882 0.0054649
4.19428 1.3871 0.0054899
4.20274 1.3867 0.0060899
4.21141 1.3856 0.0066981
4.21994 1.3848 0.0073068
4.22851 1.3842 0.0073302
4.23711 1.3841 0.0079391
4.24574 1.3835 0.0085543
4.25459 1.3821 0.0091762
4.2633 1.3817 0.0097963
4.27204 1.3811 0.010420
4.28082 1.3810 0.010448
4.28982 1.3795 0.011079
4.29867 1.3790 0.011710
4.30756 1.3791 0.012950
4.31648 1.3792 0.013588
4.32545 1.3789 0.014232
4.33463 1.3777 0.014882
4.34367 1.3781 0.015531
4.35275 1.3780 0.016185
4.36186 1.3785 0.016841
4.3712 1.3772 0.017506
4.38039 1.3772 0.018171
4.38962 1.3781 0.018837
4.39889 1.3792 0.019505
4.4082 1.3793 0.020180
4.41774 1.3778 0.020866
4.42713 1.3792 0.020910
4.43656 1.3807 0.021588
4.44603 1.3812 0.021637
4.45573 1.3800 0.021695
4.46528 1.3803 0.021744
4.47487 1.3816 0.021790
4.48451 1.3830 0.021835
4.49438 1.3822 0.021892
4.5041 1.3823 0.021299
4.51386 1.3838 0.020696
4.52366 1.3849 0.020740
4.5335 1.3850 0.020142
4.5436 1.3839 0.019550
4.55353 1.3840 0.018949
4.5635 1.3852 0.018340
4.57352 1.3858 0.017732
4.58379 1.3847 0.017132
4.5939 1.3845 0.016524
4.60405 1.3851 0.015911
4.61425 1.3860 0.015295
4.62449 1.3858 0.014682
4.63499 1.3844 0.014071
4.64533 1.3843 0.012800
4.65571 1.3842 0.012179
4.66614 1.3841 0.011556
4.67683 1.3830 0.012244
4.68735 1.3838 0.011616
4.69792 1.3837 0.0096747
4.70854 1.3835 0.0090429
4.71921 1.3828 0.0077523
4.73015 1.3814 0.0071142
4.74091 1.3810 0.0071322
4.75172 1.3804 0.0064897
4.76259 1.3798 0.0058447
4.77373 1.3783 0.0051933
4.78469 1.3777 0.0045420
4.7957 1.3772 0.0038887
4.80677 1.3762 0.0038935
4.81788 1.3754 0.0032332
4.82928 1.3741 0.0032329
4.84051 1.3734 0.0032368
4.85178 1.3728 0.0032402
4.8631 1.3724 0.0025734
4.87472 1.3710 0.0025677
4.88615 1.3703 0.0025671
4.89764 1.3698 0.0025692
4.90918 1.3692 0.0018902
4.92078 1.3682 0.0018840
4.93267 1.3672 0.0018776
4.94438 1.3667 0.0018750
4.95614 1.3655 0.0011791
4.96796 1.3653 0.0011789
4.98008 1.3641 0.0018547
4.99201 1.3634 0.0018484
5.004 1.3629 0.0018455
5.01605 1.3616 0.0018296
5.02816 1.3610 0.0011281
5.04058 1.3603 0.0018169
5.0528 1.3599 0.0018145
5.06509 1.3589 0.0010990
5.07743 1.3580 0.0010836
5.09009 1.3571 0.0010684
5.10256 1.3559 0.0010474
5.11509 1.3555 0.0017538
5.12768 1.3546 0.0017397
5.14033 1.3541 0.0017317
5.15331 1.3531 0.0017158
5.16609 1.3523 0.0017017
5.17893 1.3512 0.0016822
5.19184 1.3503 0.0023893
5.20508 1.3495 0.0023776
5.21812 1.3488 0.0023659
5.23122 1.3478 0.0023463
5.24439 1.3472 0.0030733
5.2579 1.3460 0.0030509
5.2712 1.3451 0.0037757
5.28457 1.3443 0.0037656
5.29801 1.3439 0.0045098
5.31152 1.3432 0.0045009
5.32538 1.3417 0.0044752
5.33903 1.3410 0.0052195
5.35275 1.3405 0.0059760
5.36653 1.3400 0.0059794
5.38068 1.3382 0.0067095
5.39462 1.3378 0.0067140
5.40862 1.3370 0.0074794
5.4227 1.3371 0.0082721
5.43685 1.3356 0.0082520
5.45137 1.3343 0.0082377
5.46568 1.3340 0.0090309
5.48005 1.3329 0.0098085
5.49451 1.3326 0.0098258
5.50934 1.3306 0.010585
5.52395 1.3297 0.011382
5.53863 1.3293 0.011402
5.5534 1.3285 0.012209
5.56824 1.3277 0.013023
5.58347 1.3261 0.013820
5.59848 1.3252 0.014643
5.61356 1.3244 0.015476
5.62873 1.3239 0.016325
5.6443 1.3226 0.017982
5.65963 1.3209 0.017980
5.67505 1.3206 0.020521
5.69055 1.3206 0.021419
5.70613 1.3189 0.022274
5.72213 1.3174 0.023141
5.73789 1.3170 0.024047
5.75374 1.3161 0.025801
5.76967 1.3181 0.028512
5.78603 1.3145 0.029366
5.80215 1.3131 0.031157
5.81835 1.3130 0.033878
5.83465 1.3158 0.034932
5.85103 1.3152 0.036793
5.86786 1.3121 0.038617
5.88443 1.3153 0.040599
5.9011 1.3160 0.043443
5.91786 1.3170 0.044501
5.93507 1.3141 0.050994
5.95203 1.3155 0.049330
5.96908 1.3188 0.052304
5.98623 1.3218 0.052504
6.00348 1.3238 0.053617
6.02119 1.3205 0.053747
6.03865 1.3229 0.054878
6.0562 1.3268 0.056023
6.07386 1.3301 0.059050
6.09199 1.3259 0.056365
6.10986 1.3261 0.058443
6.12783 1.3309 0.057701
6.1459 1.3343 0.057896
6.16409 1.3354 0.058079
6.18276 1.3308 0.061131
6.20117 1.3352 0.058444
6.21968 1.3382 0.058633
6.2383 1.3388 0.058817
6.25743 1.3350 0.058998
6.27628 1.3358 0.059186
6.29525 1.3394 0.059377
6.31433 1.3421 0.058588
6.33392 1.3376 0.058774
6.35324 1.3392 0.058962
6.37267 1.3429 0.059148
6.39223 1.3453 0.058347
6.4119 1.3458 0.060510
6.43211 1.3433 0.060714
6.45203 1.3435 0.057920
6.47207 1.3458 0.059099
6.49224 1.3489 0.059278
6.51296 1.3457 0.057480
6.53339 1.3463 0.056661
6.55394 1.3487 0.057844
6.57462 1.3525 0.057008
6.59544 1.3522 0.055178
