4145 0.92
2.59464 1.2475 8.8215e-05
2.59531 1.2474 0.00043726
2.59599 1.2473 7.8201e-05
2.59659 1.2472 7.1049e-05
2.59727 1.2470 6.4373e-05
2.59794 1.2468 5.7697e-05
2.59855 1.2467 5.1975e-05
2.59923 1.2466 4.5776e-05
2.5999 1.2464 3.9339e-05
2.60051 1.2463 3.3855e-05
2.60119 1.2461 2.7180e-05
2.60186 1.2460 2.0981e-05
2.60247 1.2459 1.5259e-05
2.60315 1.2457 8.5831e-06
2.60376 1.2456 2.3842e-06
2.60444 1.2454 0.0000
2.60512 1.2454 0.00034761
2.60573 1.2454 0.0000
2.60641 1.2452 0.0000
2.60709 1.2450 0.0000
2.6077 1.2450 0.0000
2.60838 1.2447 0.0000
2.60906 1.2446 0.0000
2.60967 1.2444 0.0000
2.61035 1.2441 0.0000
2.61103 1.2439 0.0000
2.61165 1.2439 0.0000
2.61233 1.2437 0.0000
2.61301 1.2435 0.0000
2.61363 1.2433 0.0000
2.61431 1.2431 0.0000
2.61493 1.2431 0.0000
2.61561 1.2430 0.0000
2.61629 1.2428 0.0000
2.61691 1.2428 0.0000
2.6176 1.2425 0.0000
2.61828 1.2423 0.0000
2.6189 1.2422 0.0000
2.61958 1.2421 0.0000
2.62027 1.2420 0.0000
2.62089 1.2420 0.0000
2.62158 1.2418 0.0000
2.62226 1.2415 0.0000
2.62288 1.2413 0.0000
2.62357 1.2411 0.0000
2.62426 1.2409 0.0000
2.62488 1.2406 0.0000
2.62557 1.2404 0.0000
2.62619 1.2403 0.0000
2.62688 1.2402 0.0000
2.62757 1.2400 0.0000
2.62819 1.2396 0.0000
2.62888 1.2395 0.0000
2.62957 1.2394 0.0000
2.63019 1.2393 0.0000
2.63089 1.2391 0.0000
2.63158 1.2390 0.0000
2.6322 1.2389 0.0000
2.6329 1.2387 0.0000
2.63359 1.2387 0.0000
2.63421 1.2384 0.0000
2.63491 1.2381 0.0000
2.63553 1.2378 0.0000
2.63623 1.2378 0.0000
2.63692 1.2377 0.0000
2.63755 1.2376 0.0000
2.63824 1.2374 0.0000
2.63894 1.2370 0.0000
2.63957 1.2367 0.0000
2.64026 1.2367 0.0000
2.64096 1.2365 0.0000
2.64159 1.2364 0.0000
2.64229 1.2363 0.0000
2.64299 1.2360 0.0000
2.64361 1.2357 0.0000
2.64431 1.2356 0.0000
2.64494 1.2354 0.0000
2.64564 1.2353 0.0000
2.64634 1.2352 0.0000
2.64697 1.2349 0.0000
2.64767 1.2346 0.0000
2.64838 1.2345 0.0000
2.64901 1.2344 0.0000
2.64971 1.2341 0.0000
2.65041 1.2338 0.0000
2.65104 1.2337 0.0000
2.65175 1.2335 0.0000
2.65245 1.2334 0.0000
2.65308 1.2331 0.0000
2.65379 1.2328 0.0000
2.65449 1.2327 0.0000
2.65513 1.2325 0.0000
2.65583 1.2323 0.0000
2.65647 1.2321 0.0000
2.65717 1.2319 0.0000
2.65788 1.2318 0.0000
2.65851 1.2315 0.0000
2.65922 1.2313 0.0000
2.65993 1.2312 0.0000
2.66057 1.2310 0.0000
2.66127 1.2308 0.0000
2.66198 1.2306 0.0000
2.66262 1.2301 0.0000
2.66333 1.2299 0.0000
2.66404 1.2298 0.0000
2.66468 1.2295 0.0000
2.66539 1.2294 0.0000
2.66603 1.2291 0.0000
2.66674 1.2289 0.0000
2.66745 1.2287 0.0000
2.66809 1.2285 0.0000
2.6688 1.2283 0.0000
2.66951 1.2280 0.0000
2.67016 1.2279 0.0000
2.67087 1.2279 0.0000
2.67158 1.2276 0.0000
2.67222 1.2272 0.0000
2.67294 1.2270 0.0000
2.67365 1.2266 0.0000
2.6743 1.2262 0.0000
2.67501 1.2262 0.0000
2.67566 1.2259 0.0000
2.67637 1.2257 0.0000
2.67709 1.2256 0.0000
2.67773 1.2252 0.0000
2.67845 1.2249 0.0000
2.67917 1.2249 0.0000
2.67982 1.2245 0.0000
2.68053 1.2241 0.0000
2.68125 1.2239 0.0000
2.6819 1.2236 0.0000
2.68262 1.2235 0.0000
2.68334 1.2233 0.0000
2.68399 1.2228 0.0000
2.68471 1.2225 0.0000
2.68543 1.2221 0.0000
2.68608 1.2217 0.0000
2.6868 1.2217 0.0000
2.68745 1.2214 0.0000
2.68817 1.2211 0.0000
2.68889 1.2209 0.0000
2.68955 1.2206 0.0000
2.69027 1.2203 0.0000
2.69099 1.2201 0.0000
2.69165 1.2197 0.0000
2.69237 1.2193 0.0000
2.69309 1.2191 0.0000
2.69375 1.2189 0.0000
2.69447 1.2187 0.0000
2.6952 1.2186 0.0000
2.69585 1.2182 0.0000
2.69658 1.2179 0.0000
2.69724 1.2177 0.0000
2.69796 1.2176 0.0000
2.69869 1.2173 0.0000
2.69935 1.2168 0.0000
2.70008 1.2165 0.0000
2.7008 1.2163 0.0000
2.70146 1.2160 0.0000
2.70219 1.2157 0.0000
2.70292 1.2154 0.0000
2.70358 1.2149 0.0000
2.70431 1.2146 0.0000
2.70504 1.2144 0.0000
2.7057 1.2139 0.0000
2.70643 1.2136 0.0000
2.70717 1.2134 0.0000
2.70783 1.2129 0.0000
2.70856 1.2127 0.0000
2.70922 1.2122 0.0000
2.70995 1.2118 0.0000
2.71069 1.2117 0.0000
2.71135 1.2113 0.0000
2.71209 1.2109 0.0000
2.71282 1.2106 0.0000
2.71348 1.2101 0.0000
2.71422 1.2098 0.0000
2.71496 1.2095 0.0000
2.71562 1.2090 0.0000
2.71636 1.2086 0.0000
2.7171 1.2083 0.0000
2.71776 1.2078 0.0000
2.7185 1.2075 0.0000
2.71916 1.2068 0.0000
2.7199 1.2065 0.0000
2.72064 1.2064 0.0000
2.72131 1.2058 0.0000
2.72205 1.2054 0.0000
2.72279 1.2050 0.0000
2.72346 1.2045 0.0000
2.7242 1.2043 0.0000
2.72494 1.2039 0.0000
2.72561 1.2034 0.0000
2.72636 1.2030 0.0000
2.7271 1.2026 0.0000
2.72777 1.2020 0.0000
2.72851 1.2016 0.0000
