! File to summarize composition
! # name ref_index vfrac rule sizedistrib Mdust/(100*MH) amin amax
1 silicates MgSiO3_Dorschner 0.60 mix plaw 1.0 0.05 3000
2 carbonaceous Carbon_BE_Zubko1996 0.15 mix plaw 1.0 0.05 3000
