! File to summarize composition
! # name ref_index vfrac rule sizedistrib Mdust/(100*MH) amin amax
1 silicates Mg2SiO4_Henning 0.02 mix MRN_S03 1.0 5.0E-03 5.0
2 iron Fe_Henning 0.01 mix MRN_S03 1.0 5.0E-03 5.0
3 silicates MgSiO3_Henning 0.06 mix MRN_S03 1.0 5.0E-03 5.0
4 iron_sulfides FeS_Henning 0.016 mix MRN_S03 1.0 5.0E-03 5.0
5 carbonaceous CHON_Henning 0.294 mix MRN_S03 1.0 5.0E-03 5.0
6 ices Water_ice_Henning 0.60 mix MRN_S03 1.0 5.0E-03 5.0
