6.000000E-004   2.361251E-031
  6.512322E-004   2.605216E-031
  7.068390E-004   2.874387E-031
  7.671939E-004   3.171369E-031
  8.327023E-004   3.499036E-031
  9.038043E-004   3.860557E-031
  9.809775E-004   4.259430E-031
  1.064740E-003   4.699515E-031
  1.155655E-003   5.185070E-031
  1.254333E-003   5.720793E-031
  1.361437E-003   6.311866E-031
  1.477686E-003   6.964009E-031
  1.603861E-003   7.683532E-031
  1.740810E-003   8.477395E-031
  1.889453E-003   9.353281E-031
  2.050788E-003   1.031966E-030
  2.225899E-003   1.138589E-030
  2.415962E-003   1.256229E-030
  2.622253E-003   1.386022E-030
  2.846160E-003   1.529226E-030
  3.089185E-003   1.687226E-030
  3.352961E-003   1.861551E-030
  3.639261E-003   2.053887E-030
  3.950007E-003   2.266095E-030
  4.287286E-003   2.500228E-030
  4.653365E-003   2.758552E-030
  5.050702E-003   3.043566E-030
  5.481966E-003   3.358028E-030
  5.950055E-003   3.704980E-030
  6.458113E-003   4.087779E-030
  7.009552E-003   4.510129E-030
  7.608077E-003   4.976116E-030
  8.257708E-003   5.490250E-030
  8.962809E-003   6.057503E-030
  9.728117E-003   6.683366E-030
  1.055877E-002   7.373892E-030
  1.146035E-002   8.135764E-030
  1.243892E-002   8.976352E-030
  1.350104E-002   9.903791E-030
  1.465386E-002   1.092705E-029
  1.590511E-002   1.205604E-029
  1.726320E-002   1.330167E-029
  1.873725E-002   1.467600E-029
  2.033717E-002   1.619233E-029
  2.207370E-002   1.786532E-029
  2.395851E-002   1.971117E-029
  2.600425E-002   2.174773E-029
  2.822468E-002   2.399471E-029
  3.063470E-002   2.647385E-029
  3.325051E-002   2.920913E-029
  3.608967E-002   3.222702E-029
  3.917126E-002   3.555672E-029
  4.251598E-002   3.923045E-029
  4.614630E-002   4.328375E-029
  5.008659E-002   4.775583E-029
  5.436334E-002   5.268997E-029
  5.900526E-002   5.813391E-029
  6.404355E-002   6.414032E-029
  6.951204E-002   7.076731E-029
  7.544746E-002   7.807900E-029
  8.188970E-002   8.614613E-029
  8.888202E-002   9.504677E-029
  9.647139E-002   1.048670E-028
  1.047088E-001   1.157019E-028
  1.136496E-001   1.276562E-028
  1.233538E-001   1.408457E-028
  1.338866E-001   1.553979E-028
  1.453188E-001   1.714536E-028
  1.577271E-001   1.886669E-028
  1.711950E-001   2.045874E-028
  1.858128E-001   2.175182E-028
  2.016788E-001   2.256333E-028
  2.188996E-001   2.269996E-028
  2.375907E-001   2.199220E-028
  2.578779E-001   2.034361E-028
  2.798973E-001   1.778569E-028
  3.037970E-001   1.451782E-028
  3.297373E-001   1.090442E-028
  3.578926E-001   7.407054E-029
  3.884520E-001   4.457258E-029
  4.216207E-001   2.318511E-029
  4.576217E-001   1.012515E-029
  4.966966E-001   3.585918E-030
  5.391081E-001   9.884477E-031
  5.851409E-001   2.019712E-031
  6.351044E-001   2.887436E-032
  6.893341E-001   2.697075E-033
  7.481943E-001   1.517846E-034
  8.120804E-001   4.675729E-036
  8.814215E-001   7.038147E-038
  9.566835E-001   4.526338E-040
  1.038372E+000   1.061145E-042
  1.127035E+000   7.517157E-046
  1.223270E+000   1.289115E-049
  1.327721E+000   4.118415E-054
  1.441091E+000   1.798903E-059
  1.564142E+000   7.455233E-066
  1.697699E+000   1.904436E-073
  1.842661E+000   1.802185E-082
  2.000000E+000   3.464021E-093
